title,releaseDate,studios,directorFirstName,directorLastName,directorDateOfBirth,actorFirstName,actorLastName,actorDateOfBirth,award,awardedToFirstName,awardedToLastName,awardedToDateOfBBirth
Extraction,24/04/2020,AGBO,Sam,Hargrave,01/01/1970,Chris,Hemsworth,11/08/1983,People Choice Award for Favorite Action Movie Star,Chris,Hemsworth,11/08/1983
Extraction,24/04/2020,Thematic Entertainment,Sam,Hargrave,01/01/1970,Rudhraksh,Jaiswal,19/09/2003,People Choice Award for Favorite Action Movie Star,Chris,Hemsworth,11/08/1983
Extraction,24/04/2020,India Take One Productions,Sam,Hargrave,01/01/1970,Randeep,Hooda,20/08/1976,People Choice Award for Favorite Action Movie Star,Chris,Hemsworth,11/08/1983
Extraction,24/04/2020,TGIM Films,Sam,Hargrave,01/01/1970,Priyanshu,Painyuli,29/08/1988,People Choice Award for Favorite Action Movie Star,Chris,Hemsworth,11/08/1983
Extraction,24/04/2020,TGIM Films,Sam,Hargrave,01/01/1970,Golshifteh,Farahani,10/07/1983,People Choice Award for Favorite Action Movie Star,Chris,Hemsworth,11/08/1983
Extraction,24/04/2020,TGIM Films,Sam,Hargrave,01/01/1970,Pankaj,Tripathi,18/09/1976,People Choice Award for Favorite Action Movie Star,Chris,Hemsworth,11/08/1983
Extraction,24/04/2020,TGIM Films,Sam,Hargrave,01/01/1970,David,Harbour,10/04/1975,People Choice Award for Favorite Action Movie Star,Chris,Hemsworth,11/08/1983
Triple Frontier,06/03/2019,Atlas Entertainment,Jeffrey,Chandor,24/11/1973,Ben,Affleck,15/08/1972,None,None,None,None
Triple Frontier,06/03/2019,Atlas Entertainment,Jeffrey,Chandor,24/11/1973,Oscar,Isaac,09/03/1979,None,None,None,None
Triple Frontier,06/03/2019,Atlas Entertainment,Jeffrey,Chandor,24/11/1973,Charlie,Hunnam,10/04/1980,None,None,None,None
Triple Frontier,06/03/2019,Atlas Entertainment,Jeffrey,Chandor,24/11/1973,Garrett,Hedlund,03/09/1984,None,None,None,None
Triple Frontier,06/03/2019,Atlas Entertainment,Jeffrey,Chandor,24/11/1973,Pedro,Pascal,02/04/1975,None,None,None,None
The Accountant,14/10/2016,Electric City Entertainment,Gavin,OConnor,24/12/1963,Ben,Affleck,15/08/1972,None,None,None,None
The Accountant,14/10/2016,RatPac-Dune Entertainment,Gavin,OConnor,24/12/1963,Anna,Kendrick,09/08/1985,None,None,None,None
The Accountant,14/10/2016,Zero Gravity Management,Gavin,OConnor,24/12/1963,Jonathan,Simmons,09/01/1955,None,None,None,None
The Accountant,14/10/2016,Zero Gravity Management,Gavin,OConnor,24/12/1963,Jon,Bernthal,20/09/1976,None,None,None,None
The Accountant,14/10/2016,Zero Gravity Management,Gavin,OConnor,24/12/1963,Jeffrey,Tambor,08/07/1944,None,None,None,None
The Accountant,14/10/2016,Zero Gravity Management,Gavin,OConnor,24/12/1963,John,Lithgow,19/10/1945,None,None,None,None
The Dark Knight,18/07/2008,Warner Bros. Pictures,Christopher,Nolan,30/07/1970,Christian,Bale,30/01/1974,Academy Award for Best Supporting Actor,Heath,Ledger,04/04/1979
The Dark Knight,18/07/2008,Legendary Pictures,Christopher,Nolan,30/07/1970,Heath,Ledger,04/04/1979,Academy Award for Best Supporting Actor,Heath,Ledger,04/04/1979
The Dark Knight,18/07/2008,Syncopy,Christopher,Nolan,30/07/1970,Aaron,Eckhart,12/03/1968,Academy Award for Best Supporting Actor,Heath,Ledger,04/04/1979
The Dark Knight,18/07/2008,Syncopy,Christopher,Nolan,30/07/1970,Gary,Oldman,21/03/1958,Academy Award for Best Supporting Actor,Heath,Ledger,04/04/1979
The Dark Knight,18/07/2008,Syncopy,Christopher,Nolan,30/07/1970,Maggie,Gyllenhaal,16/11/1977,Academy Award for Best Supporting Actor,Heath,Ledger,04/04/1979
The Dark Knight,18/07/2008,Syncopy,Christopher,Nolan,30/07/1970,Morgan,Freeman,01/06/1937,Academy Award for Best Supporting Actor,Heath,Ledger,04/04/1979
Inception,16/07/2010,Warner Bros. Pictures,Christopher,Nolan,30/07/1970,Leonardo,Dicaprio,11/11/1974,Academy Award for Best Visual Effects,None,None,None
Inception,16/07/2010,Legendary Pictures,Christopher,Nolan,30/07/1970,Joseph,Gordon-Levitt,17/02/1981,Academy Award for Best Visual Effects,None,None,None
Inception,16/07/2010,Syncopy,Christopher,Nolan,30/07/1970,Ellen,Page,21/02/1987,Academy Award for Best Visual Effects,None,None,None
Inception,16/07/2010,Syncopy,Christopher,Nolan,30/07/1970,Tom,Hardy,15/09/1977,Academy Award for Best Visual Effects,None,None,None
Inception,16/07/2010,Syncopy,Christopher,Nolan,30/07/1970,Cillian,Murphy,25/05/1976,Academy Award for Best Visual Effects,None,None,None
The Dark Knight Rises,20/07/2012,Warner Bros. Pictures,Christopher,Nolan,30/07/1970,Christian,Bale,30/01/1974,None,None,None,None
The Dark Knight Rises,20/07/2012,Legendary Pictures,Christopher,Nolan,30/07/1970,Tom,Hardy,15/09/1977,None,None,None,None
The Dark Knight Rises,20/07/2012,DC Entertainment,Christopher,Nolan,30/07/1970,Anne,Hathaway,12/11/1982,None,None,None,None
The Dark Knight Rises,20/07/2012,Syncopy,Christopher,Nolan,30/07/1970,Gary,Oldman,21/03/1958,None,None,None,None
The Dark Knight Rises,20/07/2012,Syncopy,Christopher,Nolan,30/07/1970,Marion,Cotillard,30/09/1975,None,None,None,None
The Dark Knight Rises,20/07/2012,Syncopy,Christopher,Nolan,30/07/1970,Joseph,Gordon-Levitt,17/02/1981,None,None,None,None
Mad Max: Fury Road,15/05/2015,Warner Bros. Pictures,George,Miller,03/17/1945,Tom,Hardy,15/09/1977,Academy Award for Best Costume Design,None,None,None
Mad Max: Fury Road,15/05/2015,Legendary Pictures,George,Miller,03/17/1945,Charlize,Theron,07/08/1975,Academy Award for Best Costume Design,None,None,None
Mad Max: Fury Road,15/05/2015,Syncopy,George,Miller,03/17/1945,Nicholas,Hoult,07/12/1989,Academy Award for Best Costume Design,None,None,None
Mad Max: Fury Road,15/05/2015,Syncopy,George,Miller,03/17/1945,Hugh,Keays-Byrne,18/05/1947,Academy Award for Best Costume Design,None,None,None
Mad Max: Fury Road,15/05/2015,Syncopy,George,Miller,03/17/1945,Josh,Helman,22/02/1986,Academy Award for Best Costume Design,None,None,None
Die Hard,15/07/1988,Gordon Company,John,McTiernan,08/01/1951,Bruce,Willis,19/03/1955,None,None,None,None
Die Hard,15/07/1988,Silver Pictures,John,McTiernan,08/01/1951,Alan,Rickman,21/02/1946,None,None,None,None
Die Hard,15/07/1988,Silver Pictures,John,McTiernan,08/01/1951,Bonnie,Bedelia,25/03/1948,None,None,None,None
Die Hard,15/07/1988,Silver Pictures,John,McTiernan,08/01/1951,Reginald,VelJohnson,16/08/1952,None,None,None,None
Die Hard,15/07/1988,Silver Pictures,John,McTiernan,08/01/1951,Alexander,Godunov,28/11/1949,None,None,None,None
Die Hard 2,02/07/1990,Gordon Company,Renny,Harlin,15/03/1959,Bruce,Willis,19/03/1955,None,None,None,None
Die Hard 2,02/07/1990,Silver Pictures,Renny,Harlin,15/03/1959,William,Sadler,13/04/1950,None,None,None,None
Die Hard 2,02/07/1990,Silver Pictures,Renny,Harlin,15/03/1959,Franco,Nero,23/11/1941,None,None,None,None
Die Hard 2,02/07/1990,Silver Pictures,Renny,Harlin,15/03/1959,John,Amos,27/12/1939,None,None,None,None
Die Hard 2,02/07/1990,Silver Pictures,Renny,Harlin,15/03/1959,Reginald,VelJohnson,16/08/1952,None,None,None,None
Terminator 2: Judgment Day,03/07/1991,Carolco Pictures,James,Cameron,16/08/1954,Arnold,Schwarzenegger,30/07/1947,Academy Award for Best Sound Editing,None,None,None
Terminator 2: Judgment Day,03/07/1991,Pacific Western Productions,James,Cameron,16/08/1954,Linda,Hamilton,26/09/1956,Academy Award for Best Sound Editing,None,None,None
Terminator 2: Judgment Day,03/07/1991,Lightstorm Entertainment,James,Cameron,16/08/1954,Edward,Furlong,02/08/1977,Academy Award for Best Sound Editing,None,None,None
Terminator 2: Judgment Day,03/07/1991,Le Studio Canal+,James,Cameron,16/08/1954,Robert,Patrick,05/11/1958,Academy Award for Best Sound Editing,None,None,None
Terminator 2: Judgment Day,03/07/1991,Le Studio Canal+,James,Cameron,16/08/1954,Joe,Morton,18/10/1947,Academy Award for Best Sound Editing,None,None,None
The Terminator,26/10/1984,Hemdale Film Corporation,James,Cameron,16/08/1954,Arnold,Schwarzenegger,30/07/1947,None,None,None,None
The Terminator,26/10/1984,Hemdale Film Corporation,James,Cameron,16/08/1954,Michael,Biehn,31/07/1956,None,None,None,None
The Terminator,26/10/1984,Hemdale Film Corporation,James,Cameron,16/08/1954,Linda,Hamilton,26/09/1956,None,None,None,None
The Terminator,26/10/1984,Hemdale Film Corporation,James,Cameron,16/08/1954,Paul,Winfield,22/05/1941,None,None,None,None
The Terminator,26/10/1984,Hemdale Film Corporation,James,Cameron,16/08/1954,Lance,Henriksen,05/05/1940,None,None,None,None
Rambo: First Blood,22/10/1982,The Wallis Interactive,Ted,Kotcheff,07/04/1931,Sylvester,Stallone,06/07/1946,None,None,None,None
Rambo: First Blood,22/10/1982,Carolco Pictures,Ted,Kotcheff,07/04/1931,Richard,Crenna,30/11/1926,None,None,None,None
Rambo: First Blood,22/10/1982,Anabasis Investments N.V.,Ted,Kotcheff,07/04/1931,Brian,Dennehy,09/07/1938,None,None,None,None
Rambo: First Blood,22/10/1982,Anabasis Investments N.V.,Ted,Kotcheff,07/04/1931,David,Caruso,07/01/1956,None,None,None,None
Rambo: First Blood,22/10/1982,Anabasis Investments N.V.,Ted,Kotcheff,07/04/1931,Jack,Starrett,02/11/1936,None,None,None,None
Die Hard with a Vengeance,19/05/1995,Cinergi Pictures,John,McTiernan,08/01/1951,Bruce,Willis,19/03/1955,None,None,None,None
Die Hard with a Vengeance,19/05/1995,Cinergi Pictures,John,McTiernan,08/01/1951,Jeremy,Irons,19/09/1948,None,None,None,None
Die Hard with a Vengeance,19/05/1995,Cinergi Pictures,John,McTiernan,08/01/1951,Samuel,L.Jackson,21/12/1948,None,None,None,None
Die Hard with a Vengeance,19/05/1995,Cinergi Pictures,John,McTiernan,08/01/1951,Graham,Greene,22/06/1952,None,None,None,None
Die Hard with a Vengeance,19/05/1995,Cinergi Pictures,John,McTiernan,08/01/1951,Colleen,Camp,07/06/1953,None,None,None,None
The Bourne Identity,14/06/2002,The Kennedy/Marshall Company,Doug,Liman,03/07/1965,Matt,Damon,08/10/1970,None,None,None,None
The Bourne Identity,14/06/2002,Hypnotic Productions,Doug,Liman,03/07/1965,Franka,Potente,22/07/1974,None,None,None,None
The Bourne Identity,14/06/2002,Hypnotic Productions,Doug,Liman,03/07/1965,Chris,Cooper,09/07/1951,None,None,None,None
The Bourne Identity,14/06/2002,Hypnotic Productions,Doug,Liman,03/07/1965,Clive,Owen,03/10/1964,None,None,None,None
The Bourne Identity,14/06/2002,Hypnotic Productions,Doug,Liman,03/07/1965,Brian,Cox,01/06/1946,None,None,None,None
The Bourne Supremacy,23/07/2004,Universal Pictures,Paul,Greengrass,13/08/1955,Matt,Damon,08/10/1970,None,None,None,None
The Bourne Supremacy,23/07/2004,Ludlum Entertainment,Paul,Greengrass,13/08/1955,Franka,Potente,22/07/1974,None,None,None,None
The Bourne Supremacy,23/07/2004,The Kennedy/Marshall Company,Paul,Greengrass,13/08/1955,Brian,Cox,01/06/1946,None,None,None,None
The Bourne Supremacy,23/07/2004,The Kennedy/Marshall Company,Paul,Greengrass,13/08/1955,Julia,Stiles,28/03/1981,None,None,None,None
The Bourne Supremacy,23/07/2004,The Kennedy/Marshall Company,Paul,Greengrass,13/08/1955,Karl,Urban,07/06/1972,None,None,None,None
The Bourne Ultimatum,03/08/2007,The Kennedy/Marshall Company,Paul,Greengrass,13/08/1955,Matt,Damon,08/10/1970,Academy Award for Best Film Editing,None,None,None
The Bourne Ultimatum,03/08/2007,The Kennedy/Marshall Company,Paul,Greengrass,13/08/1955,Julia,Stiles,28/03/1981,Academy Award for Best Film Editing,None,None,None
The Bourne Ultimatum,03/08/2007,The Kennedy/Marshall Company,Paul,Greengrass,13/08/1955,David,Strathairn,26/01/1949,Academy Award for Best Film Editing,None,None,None
The Bourne Ultimatum,03/08/2007,The Kennedy/Marshall Company,Paul,Greengrass,13/08/1955,Joan,Allen,20/08/1956,Academy Award for Best Film Editing,None,None,None
The Bourne Ultimatum,03/08/2007,The Kennedy/Marshall Company,Paul,Greengrass,13/08/1955,Albert,Finney,09/05/1936,Academy Award for Best Film Editing,None,None,None
Lethal Weapon,06/03/1987,Silver Pictures,Richard,Donner,24/04/1930,Mel,Gibson,03/01/1956,None,None,None,None
Lethal Weapon,06/03/1987,Silver Pictures,Richard,Donner,24/04/1930,Danny,Glover,22/07/1946,None,None,None,None
Lethal Weapon,06/03/1987,Silver Pictures,Richard,Donner,24/04/1930,Gary,Busey,29/06/1944,None,None,None,None
Lethal Weapon,06/03/1987,Silver Pictures,Richard,Donner,24/04/1930,Mitchell,Ryan,11/01/1928,None,None,None,None
Lethal Weapon,06/03/1987,Silver Pictures,Richard,Donner,24/04/1930,Tom,Atkins,13/11/1935,None,None,None,None
John Wick,24/10/2014,Thunder Road Pictures,Chad,Stahelski,20/09/1968,Keanu,Reeves,02/09/1964,None,None,None,None
John Wick,24/10/2014,87Eleven Productions,Chad,Stahelski,20/09/1968,Michael,Nyqvist,08/11/1960,None,None,None,None
John Wick,24/10/2014,MJW Films,Chad,Stahelski,20/09/1968,Alfie,Allen,12/09/1986,None,None,None,None
John Wick,24/10/2014,DefyNite Films,Chad,Stahelski,20/09/1968,Willem,Dafoe,22/07/1955,None,None,None,None
John Wick,24/10/2014,DefyNite Films,Chad,Stahelski,20/09/1968,Adrianne,Palicki,06/05/1983,None,None,None,None
John Wick: Chapter 2,10/02/2017,Thunder Road Pictures,Chad,Stahelski,20/09/1968,Keanu,Reeves,02/09/1964,None,None,None,None
John Wick: Chapter 2,10/02/2017,TIK Films,Chad,Stahelski,20/09/1968,Riccardo,Scamarcio,13/11/1979,None,None,None,None
John Wick: Chapter 2,10/02/2017,87Eleven Productions,Chad,Stahelski,20/09/1968,Ian,McShane,29/09/1942,None,None,None,None
John Wick: Chapter 2,10/02/2017,Summit Entertainment,Chad,Stahelski,20/09/1968,Lonnie,Rashid-Lynn,13/03/1972,None,None,None,None
John Wick: Chapter 2,10/02/2017,Summit Entertainment,Chad,Stahelski,20/09/1968,Laurence,Fishburne,30/07/1961,None,None,None,None
Mission: Impossible - Fallout,27/07/2018,Paramount Pictures,Christopher,McQuarrie,12/10/1968,Tom,Cruise,03/07/1962,None,None,None,None
Mission: Impossible - Fallout,27/07/2018,Skydance Media,Christopher,McQuarrie,12/10/1968,Henry,Cavill,05/05/1983,None,None,None,None
